Hot Spot,"""Time (microseconds)""","""Average Time (microseconds)""","""Events"""
"UPDATE SERV_HORZ_MARKER SET STATEMENT_DATE = STATEMENT_DATE, TASK_ID = TASK_ID WHERE STATEMENT_DATE = ? AND TASK_ID = ?",15979,1452,11
SELECT CURRENT FROM SYSTABLES WHERE TABID = 1,15590,820,19
"select attr_id, attr_desc, attr_abrv, is_active , src_table_name, src_column_name, src_column_key_name, src_column_data_type from b_attribute_ids",14479,2413,6
"SELECT IS_ACTIVE, API_NAME, API_VERSION, API_TIME_OUT, INSTANCE_ID, INTERFACE_ID FROM SRVCS_VERSION_CONFIG",14425,2404,6
"SELECT  DISTINCT TASK_ID AS PARENT, PRE_REQ_TASK_ID AS CHILD FROM SCHD_TASKS_DEPENDENCIES WHERE IS_ACTIVE = ? START WITH TASK_ID IN (?) CONNECT BY  TASK_ID =   PRIOR PRE_REQ_TASK_ID",11894,1699,7
"SELECT ACQUIRER_ID, ACQ_TIME_OUT, IS_ENABLED FROM WS_ACQUIRERS  WHERE LAST_UPDATED_AT >= ?",10233,2046,5
"SELECT EXEC_SRNO, TASK_ID, INSTANCE_ID, PROCESSOR_NODE_ID, EXEC_DATE, EXEC_STATUS, FAILURE_RESP_CODE, FAILURE_RESP_DESC, EXEC_START_AT, EXEC_END_AT, TOTAL_RECORDS_PROCESSED, TOTAL_INPUT_RECORDS, TOTAL_OUTPUT_RECORDS, TOTAL_FAIL_RECORDS, TOTAL_AMOUNT, LAST_PROC_RECORD_ID, CURRENT_RETRY_COUNT FROM SCHD_TASKS_EXEC_LOGS WHERE PROCESSOR_NODE_ID = ? AND EXEC_STATUS = ? AND NEXT_RETRY_AT <= ?",9881,988,10
"select operator_code, operator_value from b_operator_codes where is_active = ?",9342,1557,6
"select criteria_group_id, criteria_group_name, criteria_group_abrv, is_active, grp_dtls_and_or, allow_block from srvcs_clnt_eps_comm_link_cri_grps WHERE LAST_UPDATED_AT >= ?",8638,1727,5
"UPDATE SERV_HORZ_MARKER SET MIN_CARD_SRNO = ?, MAX_CARD_SRNO= ? WHERE STATEMENT_DATE = ? AND TASK_ID = ?",7883,788,10
"select sr_no, criteria_group_id, attr_id, operator_code, attr_value_type, attr_value, attr_value_to, attr_type, is_active from srvcs_clnt_eps_comm_link_cri_grps WHERE LAST_UPDATED_AT >= ?",7659,1531,5
"SELECT ACQUIRER_ID, SERVICE_ID, SERV_TIME_OUT, IS_ALLOWED FROM ACQ_SERVICES  WHERE LAST_UPDATED_AT >= ?",6998,1399,5
"SELECT I.INSTANCE_ID, II.INTERFACE_ID, I.DB_CONN_STRING_ENC, I.DB_USER_ID_ENC, INTF.DB_USER_ID_ENC INTERFACE_USER_ID_ENC, I.DB_USER_PASSWD_ENC, INTF.DB_USER_PASSWD_ENC INTERFACE_USER_PASSWD_ENC, I.CONN_DRIVER_NAME_ENC, I.CREDENTIAL_ENC_OPTION, II.IS_ACTIVE , 'M' AS DB_TYPE, I.INSTANCE_ID, MAXACTIVE, MAXIDLE, MAXWAIT, INITIALSIZE, MAXMEMORY, REMOVEABANDONED, REMOVEABANDONEDTIMEOUT, LOGABANDONED, TIMEBETWEENEVICTIONRUNSMILLIS NUMTESTSPEREVICTIONRUN, MINEVICTABLEIDLETIMEMILLIS , TESTWHILEIDLE, LOGINTIMEOUT, SOCKETTIMEOUT, VALIDATIONQUERY  FROM INSTANCES I INNER JOIN INTERFACE_INSTANCES II ON I.INSTANCE_ID = II.INSTANCE_ID INNER JOIN INTERFACES INTF ON INTF.INTERFACE_ID = II.INTERFACE_ID WHERE II.INTERFACE_ID = ? UNION ALL  SELECT I.INSTANCE_ID, II.INTERFACE_ID, I.DB_CONN_STRING_ENC, I.DB_USER_ID_ENC, INTF.DB_USER_ID_ENC INTERFACE_USER_ID_ENC, I.DB_USER_PASSWD_ENC, INTF.DB_USER_PASSWD_ENC INTERFACE_USER_PASSWD_ENC, I.CONN_DRIVER_NAME_ENC, I.CREDENTIAL_ENC_OPTION, DECODE(II.IS_ACTIVE,'Y',IDT.IS_ACTIVE,'N','N','N'), IDT.DB_TYPE, IDT.INSTANCE_ID  , MAXACTIVE, MAXIDLE, MAXWAIT, INITIALSIZE, MAXMEMORY, REMOVEABANDONED, REMOVEABANDONEDTIMEOUT, LOGABANDONED, TIMEBETWEENEVICTIONRUNSMILLIS NUMTESTSPEREVICTIONRUN, MINEVICTABLEIDLETIMEMILLIS , TESTWHILEIDLE, LOGINTIMEOUT, SOCKETTIMEOUT, VALIDATIONQUERY  FROM INSTANCE_DB_TYPES IDT, INSTANCES I, INTERFACE_INSTANCES II, INTERFACES INTF WHERE I.INSTANCE_ID = IDT.DB_TYPE_INSTANCE_ID AND II.INSTANCE_ID = IDT.INSTANCE_ID AND INTF.INTERFACE_ID = II.INTERFACE_ID AND II.INTERFACE_ID = ?",6564,3282,2
"SELECT ACQUIRER_ID, SERVICE_ID,INSTANCE_ID,SERV_TIME_OUT,IS_ALLOWED FROM ACQ_SRVC_INSTANCES  WHERE LAST_UPDATED_AT >= ?",6457,1291,5
"select * from system_parameters where param_id = TnsTim1sMinExeTime""""",5602,1867,3
"SELECT MIN_CARD_SRNO, MAX_CARD_SRNO FROM SERV_HORZ_MARKER WHERE STATEMENT_DATE = ? AND TASK_ID = ?",5592,508,11
"SELECT trim(II.INTERFACE_ID) AS INTERFACE_ID, trim(II.INSTANCE_ID) AS INSTANCE_ID, II.IS_ACTIVE, I.time_zone  FROM INTERFACE_INSTANCES II INNER JOIN INSTANCES I ON (II.INSTANCE_ID = I.INSTANCE_ID) WHERE II.INTERFACE_ID IN (?,?,?,?,?,?,?)",5433,5433,1
SELECT CURRENT FROM SYSTEM_VARIABLES,5020,456,11
"SELECT PARAM_ID, DATA_TYPE_CODE, PARAM_DEFAULT_VALUE, MIN_ALLOWED_VALUE, MAX_ALLOWED_VALUE, ALLOWED_LIST_VALUES, IS_ACTIVE, 'CONFIG_CACHE_GRP' AS CONFIG_CACHE_GRP FROM SCHD_CONFIG_PARAMS WHERE LAST_UPDATED_AT > ?",4789,4789,1
"select * from system_parameters where param_id = MxTnsTimsPendQLmt""""",3526,1175,3
UPDATE SCHD_NODES SET  LAST_UPDATED_AT = ?  WHERE NODE_ID = ?,3440,1720,2
"SELECT PARAM_ID, PARAM_DEFAULT_VALUE FROM SRVCS_CFG_PARAMS WHERE PARAM_ID IN (?,?,?,?,?,?,?,?,?,?,?,?,?,?) AND IS_ACTIVE = ?",3431,3431,1
"select * from system_parameters where param_id = MxTnsTimsPQInitAge""""",3424,1141,3
"SELECT cb.card_bin card_bin, cb.instance_id inst_id, i.instance_name inst_name, i.db_conn_string conn_str, i.db_user_id user_id, i.db_user_passwd passwd, ii.thread_pool_size pool_size,ii.setl_thread_pool_size setl_pool_size, i.is_inst_enc, i.card_mask_opt FROM card_bins cb, instances i, interfaces inf, interface_instances ii WHERE inf.is_active = 'Y' and ii.is_active = 'Y' and cb.instance_id = i.instance_id and i.instance_id = ii.instance_id and ii.interface_id = inf.interface_id and inf.interface_id = ? ORDER BY ii.instance_id;",3392,3392,1
"SELECT TASK_ID, PARAM_ID, PARAM_VALUE, IS_ACTIVE FROM SCHD_TASK_CONFIG_PARAMS WHERE LAST_UPDATED_AT > ?",3332,3332,1
"select * from system_parameters where param_id = LogTransTimeSummary""""",3291,1097,3
"SELECT ACQUIRER_ID, SERVICE_ID, SERV_TIME_OUT, IS_ALLOWED FROM ACQ_SERVICES ",3202,3202,1
"select * from system_parameters where param_id = TnsTimsMinExeTime""""",3190,1063,3
UPDATE SYSTEM_PARAMETERS SET PARAM_VALUE = ? WHERE PARAM_ID = ? ,3035,3035,1
"SELECT ACQUIRER_ID, SERVICE_ID,INSTANCE_ID,SERV_TIME_OUT,IS_ALLOWED FROM ACQ_SRVC_INSTANCES ",2718,2718,1
"SELECT ACTION_ID,ACTION_NAME,PROF_ATTRS_GRP_ID,IS_ACTIVE FROM B_CARD_UPDATE_ACTS WHERE IS_ACTIVE = 'Y' AND PROF_ATTRS_GRP_ID IN (SELECT PROF_ATTRS_GRP_ID FROM B_PROF_ATTRS_GRPS WHERE PROF_ATTR_GRP_NAME IN ('NEW_ACCOUNT','UPDATE_NAME1','UPDATE_ADDRESS','UPDATE_SSN'))",2701,2701,1
"SELECT c.card_bin, c.switch_type FROM card_bins c, switch_types s WHERE c.switch_type = s.switch_type AND c.switch_type IS NOT NULL;",2369,2369,1
"SELECT EPS.ENDPOINT_ID, EPS.ENDPOINT_NAME, EPS.ENDPOINT_URL, EPS.LISTEN_PORT, EPS.MSG_COMM_OPT_ID, COMM_OPTS.COMM_PROTCL_ID, COMM_OPTS.MSG_FMT_ID, EPS.DB_INTERFACE_ID, EPS.FAULTY_SERVER_RESTORE_TIME_MILLIS, EPS.VALDT_CONN_POOL_PART, EPS.VALDT_CONN_TIME_MILLIS, EPS.VALDT_CONN_FAIL_ALLOW_TRIES, EPS.VALDT_CONN_FAIL_TRY_TIME_MILLIS, EPS.REQUEST_MSG_TIMEOUT_MILLIS, EPS.LOG_FAIL_COMM_REQS, EPS.DFLT_LOG_INST_ID, EPS.SEND_ADMIN_ALERT, EPS.LOG_LEVEL, EPS.CONFIG_REFRESHER_TIME_MILLS, EPS.MSG_READ_TIMEOUT_MILLIS, EPS.AUTO_REV_MAX_TRIES, EPS.AUTO_REV_THPOOL_SIZE, EPS.AUTO_REV_TRY_WAIT_TIME_MILLIS, EPS.IS_ACTIVE, COMM_OPTS.IS_ACTIVE FROM SRVCS_CLNT_EPS EPS, B_SRVCS_COMM_LINK_OPTS COMM_OPTS WHERE EPS.MSG_COMM_OPT_ID =  COMM_OPTS.MSG_COMM_OPT_ID AND  EPS.ENDPOINT_ID = ?",2336,2336,1
"SELECT LINKS.SR_NO, LINKS.ENDPOINT_ID, LINKS.SRV_CNTRL_ID, LINKS.CNTRL_SEL_CRI_ID, LINKS.CONN_SIZE, LINKS.IS_ACTIVE, CTRLS.SERVER_IP, CTRLS.LISTEN_PORT, CTRLS.IS_ACTIVE, CTRLS.CURRENT_RUN_MODE  FROM SRVCS_CLNT_EPS_COMM_LINKS LINKS INNER JOIN SRVCS_CNTRLRS CTRLS ON LINKS.SRV_CNTRL_ID = CTRLS.SRV_CNTRL_ID WHERE LINKS.ENDPOINT_ID = ?",2053,2053,1
UPDATE SCHD_TASK_INSTANCES SET EXEC_STATUS = ? WHERE TASK_ID = ? AND INSTANCE_ID = ?,1969,1969,1
"UPDATE SCHD_TASK_INSTANCES SET EXEC_STATUS = ?, NEXT_EXEC_DATE = ? WHERE TASK_ID = ? AND INSTANCE_ID = ?",1926,1926,1
"SELECT CR.CARD_SRNO, CR.CHANGE_DATE, CR.BANKRUPT_STATUS, BD.B_ADV_REASON_CODE FROM CARD_REASON_CODES_HIST CR,B_C_STATUS_DETAILS BD WHERE CR.BANKRUPT_STATUS=BD.CARD_DETAIL_STATUS AND CR.CARD_SRNO=? AND BD.B_ADV_REASON_CODE IN ('BKFL','BKWD','BKDS','BKDM') ORDER BY CR.CHANGE_DATE ASC;",1817,1817,1
"SELECT  SERVER_ID, INSTANCE_ID, FO_SERVER_ID, FO_INSTANCE_ID, DB_CONN_STRING_ENC, DB_USER_ID_ENC, DB_USER_PASSWD_ENC, MAXACTIVE, MAXIDLE, MAXWAIT, INITIALSIZE, MAXMEMORY, STATUS FROM SECONDARY_INSTANCE ",1816,908,2
"SELECT HSM_KEY_INDEX, HSM_KEY_TYPE, HSM_ENC_KEY, HSM_KEY_MODE, HSM_BKUP_KEY_INDEX, BKUP_KEY_CARD_FROM, BKUP_KEY_CARD_TO, APPLY_PAD_CHAR_ON_PIN, PIN_DATA_PAD_CHAR, HSM_KEY_OP_MODE, CARD_RANGE_TYPE, BKUP_RANGE_CARD_BIN  FROM HSM_ENCRYPTED_KEYS WHERE LAST_MODIFIED_AT > ?",1765,1765,1
"SELECT CLIENT_REQ_PRIORITY,MAX_RETRY_ATTEMPTS, MAX_MAKE_CONN_ATTEMPTS, MAX_WAIT_IN_MILLIS, CONFIG_REFRESHER_TIME_MILLS, ALERT_SMTP_ADDRESS, FROM_MAIL_ADDRESS, ADMIN_MAIL_ADDRESS, LOG_LEVEL, MAKE_CONN_TIMEOUT_MILLIS, CONN_READ_TIMEOUT_MILLIS, EVICTABLE_RUN_MILLIS, DEVICE_RESTORE_SLEEP_TIME_MILLIS, MAX_VALIDATION_ATTEMPTS, VALIDATION_SLEEP_TIME_MILLIS, LOAD_BAL_ALGO_ID FROM HSM_CLIENT_CONFIG WHERE CLIENT_APP_ID = ? AND LAST_MODIFIED_AT > ?",1603,1603,1
"SELECT instance_id, ctrl_no_key_indx from instance1s WHERE ctrl_no_key_indx IS NOT NULL",1539,1539,1
UPDATE SYSTEM_PARAMETERS SET PARAM_VALUE = current WHERE PARAM_ID = ? ,1478,1478,1
"SELECT CP.CARD_PRG_ID, CP.CURRENCY_CODE , CP1S.IS_ACTIVE, CP.CARD_BIN, CP.CARD_PRG_NAME FROM CARD_PROGRAMS CP , OUTER CARD_PROGRAMS CP WHERE CP.CARD_PRG_ID = CP.CARD_PRG_ID AND CP.PROGRAM_CATEGORY = 'C' AND CP.SERVICE_ID = 'MIP_CHARGES' ",1410,1410,1
"SELECT KEY_ID, ← KEY_NAME , HSM_KEY_TYPE FROM  HSM_KEY_TYPES WHERE LAST_MODIFIED_AT > ?",1375,1375,1
"INSERT INTO SCHD_TASKS_EXEC_LOGS (TASK_ID,INSTANCE_ID,PROCESSOR_NODE_ID,EXEC_DATE,EXEC_STATUS,EXEC_START_AT, CURRENT_RETRY_COUNT) VALUES (?,?,?,?,?,?, ?)",1351,1351,1
"SELECT PARAM_CODE,PARAM_VAL,CARD_PRG_ID FROM CARD_PROG_PARAMS WHERE ACTIVE = 'Y'",1270,1270,1
"SELECT db_user_id_enc, db_user_passwd_enc FROM interfaces WHERE interface_id = ?",1217,608,2
"SELECT PARAM_ID, PARAM_VALUE FROM SYSTEM_PARAMETERS",1175,1175,1
"UPDATE SCHD_TASKS_EXEC_LOGS SET EXEC_STATUS = ?,FAILURE_RESP_CODE = ?,FAILURE_RESP_DESC = ?,EXEC_END_AT = ?,TOTAL_RECORDS_PROCESSED = ?, TOTAL_INPUT_RECORDS = ?,TOTAL_OUTPUT_RECORDS = ?,TOTAL_FAIL_RECORDS = ?,TOTAL_AMOUNT = ?, LAST_PROC_RECORD_ID = ?, next_retry_at = ? WHERE EXEC_SRNO = ?",1133,1133,1
"SELECT param_id,param_value FROM SYSTEM_PARAMETERS where param_id in ('TRAN_TIME_BATCH_SIZE', 'TIME_LOGER_SLEEP_SEC', 'TimeLgrCachRefTmeSec', 'TnsTimsMinExeTime', 'TnsTim1sMinExeTime', 'LogTransTimeSummary', 'MxTnsTimsPendQLmt', 'MxTnsTimsPQInitAge')",1079,1079,1
"SELECT TASK_ID, PARAM_ID, PARAM_VALUE, IS_ACTIVE, 'Y' as IS_INST_LEVEL_PARAM FROM SCHD_TASK_INST_CONFIG_PARAMS WHERE LAST_UPDATED_AT > ?",1065,1065,1
"select criteria_group_id, criteria_group_name, criteria_group_abrv, is_active, grp_dtls_and_or, allow_block from srvcs_clnt_eps_comm_link_cri_grps",1047,1047,1
"SELECT CARD_PRG_ID, SERVICE_ID, IS_ACTIVE, BASIS, AGE, FIX_RATE, APPLY_SLAB_RATE, VAT_AGE FROM CARD_PROGRAMS",1046,1046,1
"SELECT CAP1S.APR_ID, CAP1S.CARD_PRG_ID, CAP.FC_METHOD_ID, CAP.IS_COMPOUND, CAP1S.APR_VALUE, CAP1S.INTRO_APR_VALUE, CAP1S.INTRO_N_STMT_CYCLS, CAP1S.INTRO_START_FLAG, CAP1S.EFFECTIVE_DATE_TYPE, CAP1S.EFFECTIVE_DATE, CAP.APR_SCOPE_ID, CAP.APR_INDX_SRC_ID, CAP.APR_TYPE_INDI, CAP.MAX_APR, CAP.MIN_APR, CAP1S.OLD_CARD_AGE_MNTHS, CAP.APLY_SRC_RATE_CHNG_OPTS, CAP.APR_IDX_EFCTV_TYPE, CAP.APR_IDX_EFCTV_DAYS FROM CP_APR_PROFILES CAP, CP_APR_PROFILE1S CAP1S WHERE CAP.CARD_PRG_ID = CAP1S.CARD_PRG_ID AND CAP.APR_ID = CAP1S.APR_ID ORDER BY CAP1S.EFFECTIVE_DATE;",1012,1012,1
SELECT PARAM_VALUE FROM SYSTEM_PARAMETERS WHERE PARAM_ID = 'MAX_HSM_KEY_INDX_VAL',961,961,1
"select sr_no, criteria_group_id, attr_id, operator_code, attr_value_type, attr_value, attr_value_to, attr_type, is_active from srvcs_clnt_eps_comm_link_cri_grp1s",948,948,1
"SELECT RESP_CODE, RESP_DESC, RETRY_ALLOWED, ACTION_CODE, IS_ACTIVE FROM B_SERVICES_RESP_CODES WHERE LAST_UPDATED_AT > ?",942,942,1
"SELECT APR_ID, FC_METHOD_ID, IS_COMPOUND, IS_INTRO_APR_ALLOW FROM B_APR_PROFILES WHERE IS_ACTIVE = 'Y';",939,939,1
"SELECT AISR.APR_INDX_SRC_ID, AISR.EFFECTIVE_DATE, AISR.INDX_RATE FROM APR_INDX_SRC_RATE AISR, B_APR_INDX_SRC AIS WHERE AISR.APR_INDX_SRC_ID = AIS.APR_INDX_SRC_ID AND AISR.IS_ACTIVE = 'Y' AND AIS.IS_ACTIVE = 'Y' ORDER BY AISR.APR_INDX_SRC_ID, AISR.EFFECTIVE_DATE ASC",887,887,1
"SELECT PARAM_ID, PARAM_VALUE FROM SYSTEM_PARAMETERS WHERE PARAM_ID IN (?,?)",785,785,1
"SELECT CARD_PRG_ID, FC_PUR_BASIS, FC_CA_BASIS, APL_REV_MIN_PAYMNT, APL_RET_MIN_PAYMNT, APL_ADJ_MIN_PAYMNT, APPLY_FC_ON_SUPL, OVERDRAFT_ON_FEE, OVRDRFT_ON_FINCHRG, APPLY_REC_OD_FEE, INTRO_APR_TRM_OPT, N_NONPAY_INTRO_TRM, STMNT_DAY_OF_MONTH, APR_APLID4OLDCARDS, ALOW_CARD_LVL_APR, ALW_PAYT_CORECTION, ALW_PAYTCOR_PRDTYP, ALW_PAYTCOR_PRIOD, ALW_BKDATE_PRDTYP, ALW_BKDATE_PRIOD, APLY_INS_ONPAYTCOR, APLY_FC_ONPAYTCOR, APLY_LP_ONPAYTCOR, APLY_OD_ONPAYTCOR, ALW_C_AGENT_MODIF, SND_UPD_RPT_BEURO, GRACE_PERIOD_DAYS, CHARGE_DISP_TRANS, LMT_LP_FEE_TO_MN_PAY, PAYT_TRNS_DST_ODR, EXCL_HOL_4_GRC_PRD, LP_GRC_PRD_DAYS, BUSINES_OFFDAY_TYPE, NCONS_ONTIME_PYMTS, DAYS_OF_DUE_DATE,DUE_DT_CUTOVR_TIME,AD_FC_IN_MN_PAY,AD_TFEES_IN_MN_PAY,AD_OD_IN_MN_PAY ,AD_LP_IN_MN_PAY ,AD_PRV_MP_IN_MN_PY ,MIN_PAYMNT_THRSHLD,MIN_PAYMNT_PERC,ADD_INSR_FEE_IN_MP,AD_CA_IN_MN_PAY,AD_PUR_IN_MN_PAY,REQ_STMT_DOM,PREV_STMT_DOM,DT_OF_STMT_CHG_REQ,ALW_MNTHS_4_DUE_AMT_PAY,AD_OVLMT_IN_MN_PAY,DUE_DATE_MODE,REQ_DO_DUE_DATE,PREV_DO_DUE_DATE, NVL(IS_CARD_LVL_DST, 'N') CARD_LVL_DST, PAYT_CARD_DST_ODR, APL_REV_MIN_PAYMNT, APL_RET_MIN_PAYMNT, APL_ADJ_MIN_PAYMNT, M_DST_CUTOVR_DAYS, APL_RW_CB_MIN_PAYT, STMT_INTRVL_DAYS, REQ_STMT_INTRVL_DAYS, AD_VAT_IN_MN_PAY, ALW_MIN_PAY_SEC_CALC, MIN_PAY_CALC_TYPE, MIN_PAY_CALC_BASIS, MIN_PAY_CALC_PRIORITY,secur_rcvry_mode,secur_rcvry_type,secur_rcvry_days,IS_PAYOFF_REQUIRED, IS_TAC_REQUIRED, INC_INST_MIN_PYMT, INC_UPFRONT_CHARGES_MIN_PAYT, IS_ASC_DST_ODR, INC_MIN_DST_ODR, MIN_PAYT_DST_ODR FROM CP_CREDIT_ATTRS",776,776,1
SELECT PARAM_DEFAULT_VALUE FROM SCHD_CONFIG_PARAMS WHERE PARAM_ID = ?,771,771,1
"select switch_type, bin_length from switch_types;",748,748,1
"SELECT CARD_DETAIL_STATUS, B_ADV_REASON_CODE FROM B_C_STATUS_DETAILS WHERE IS_ACTIVE = 'Y'",727,727,1
"SELECT ORDER_BY,CARD_PRG_ID,MIN_PAYT_TR_TYPE FROM CP_MIN_PAYT_DST_ODRS WHERE IS_ACTIVE = 'Y' ORDER BY CARD_PRG_ID, ORDER_BY ASC",721,721,1
"SELECT TASK_SRNO, TASK_ID, TASK_NAME, PROCESSOR_NODE_ID, DB_INTERFACE_ID, EXECUTION_ORDER, DEPENDS_ALL_INSTS, IS_EXTERNALLY_DEFINED, DELEGATE_DEP_MGMT, FREQ_TYPE, FREQ_TYPE_VALUE, FREQ_TYPE_BITMAP, CUTOFF_OPTION, CUTOFF_TIME, NEXT_EXEC_DATE, BATCH_MODE, ONLINE_DEDICATED_EXEC, EXEC_STATUS, MAX_FAIL_RETRY_COUNT, LOG_LEVEL_ID, RECORD_BATCH_SIZE, SLEEP_TIME_MILLIS, IMPL_CLASS_NAME, NORMAL_COMPL_TIME_MINS, MAX_COMPL_TIME_MINS, COMPL_TIME_BYPASS_ACTION, CONT_ON_FAIL_AT_SI, IS_ACTIVE, CREATED_AT, LAST_UPDATED_AT FROM SCHD_TASKS WHERE LAST_UPDATED_AT > ?",699,699,1
"SELECT CARD_PRG_ID,COUNTRY_CODE FROM CARD_PROGRAMS",678,678,1
"SELECT PRIORITY_ID, ROLE_ID FROM HSM_GWAY_PRIORITY_ROLE_MAPNG WHERE 1=1",667,667,1
"SELECT SR_NO, CARD_PRG_ID, STMT_DAY_OF_MONTH, REQ_STMT_DOM, PREV_STMT_DOM, STMT_DOM_CHG_ON, DUE_DAY_OF_MONTH, REQ_DUE_DOM, PREV_DUE_DOM, DUE_DOM_CHG_ON, ARCHIVED_ON FROM CP_STMT_DT_SETINGS ORDER BY 2",657,657,1
"SELECT BOT.BUSINES_OFFDAY_TYPE,CBO.OFFDAY_YEAR,BOT.WEEKLY_OFFDAYS,CBO.OFFDAY_DATE FROM BUSINES_OFFDAY_TYPS BOT INNER JOIN CAL_BUSINESS_OFFDAYS CBO ON CBO.OFFDAY_TYPE=BOT.BUSINES_OFFDAY_TYPE WHERE CBO.OFFDAY_YEAR= TO_CHAR(CURRENT,  '%Y') AND BOT.IS_ACTIVE='Y' AND CBO.IS_ACTIVE='Y' ORDER BY BOT.BUSINES_OFFDAY_TYPE;",619,619,1
"SELECT CARD_PRG_ID, SERVICE_ID, IS_ACTIVE, EFFECTIVE_FROM, EFFECTIVE_TO, FIX_RATE, VALUE_FROM, AGE,BASIS,ADS_ID,VAT_AGE FROM CARD_PROGRAMS ORDER BY VALUE_FROM DESC,ADS_ID DESC,EFFECTIVE_FROM DESC,EFFECTIVE_TO DESC",616,616,1
"SELECT PROF_ATTR_GRP_NAME,PROF_ATTRS_GRP_ID FROM B_PROF_ATTRS_GRPS",598,598,1
"SELECT T1.TRANS_TYPE_GRP_ID, T2.TRANS_TYPE FROM TRANSACTION_TYPE_GROUPS T1, TRANSACTION_TYPE_GROUP1S T2  WHERE T1.TRANS_TYPE_GRP_ID = T2.TRANS_TYPE_GRP_ID  AND T2.IS_ACTIVE = 'Y' AND T1.IS_ACTIVE = 'Y';",584,584,1
"SELECT SR_NO, CARD_PRG_ID,TRANS_TYPE,DIST_OPT_CODE,DIST_ORDER,IS_MIN_PAY_DIST, IS_ACTIVE FROM CP_TRNS_DST_ORDS WHERE IS_ACTIVE = 'Y' ORDER BY DIST_ORDER",582,582,1
SELECT UNIQUE CARD_PRG_ID FROM CARD_REWARDS,579,579,1
"SELECT METRO_CONS_CODE,CONS_CODE_DESC,IS_ACTIVE FROM B_METRO_CONS_FLAGS WHERE IS_ACTIVE = 'Y'",564,564,1
"SELECT CARD_PRG_ID, MIN_PAY_CALC_ORDER, MIN_PAY_CALC_TYPE, MIN_PAYMNT_THRSHLD, MIN_PAYMNT_PERC, AD_FC_IN_MN_PAY, AD_TFEES_IN_MN_PAY, AD_OD_IN_MN_PAY, AD_LP_IN_MN_PAY, AD_PRV_MP_IN_MN_PY, ADD_INSR_FEE_IN_MP, AD_CA_IN_MN_PAY, AD_PUR_IN_MN_PAY, AD_OVLMT_IN_MN_PAY, AD_VAT_IN_MN_PAY, INC_INST_MIN_PYMT, ← INC_UPFRONT_CHARGES_MIN_PAYT FROM CP_SEC_MIN_PAY_OPTS",544,544,1
"SELECT SERVICE_CODE||IS_DECLINE_FLOW AS MAPKEY,TRANS_TIME_COL TIME_COL FROM TRANS_TIMES_B",509,509,1
"SELECT DBIT_MAP_ID,LAST_UPDATED_AT FROM OJ_B_CACHE_DBIT_MAPS WHERE DBIT_MAP_ID IN ('trans_times_b','system_parameters','srvc_task_time_b') order by 1",495,495,1
"SELECT interface_id, log_usage_stats FROM interfaces WHERE interface_id in (?,?)",,,
"SELECT TASK_ID, TRANS_TIME1S_COL FROM SRVC_TASK_TIME_B WHERE IS_ACTIVE =?",,,
"SELECT SR_NO, CUTOFF_GRP_SRNO, TIME_FROM, TIME_TO, ALLOW_BLOCK_OPTION, IS_ACTIVE FROM SCHD_TASK_MULTI_CUTOFF1S WHERE LAST_UPDATED_AT > ?",,,
SELECT RESP_CODE FROM FRAUD_RESP_CODES,,,
SELECT CURRENT FROM SYSMASTER:SYSDUAL,,,
